0.00000,0.00000
0.00405,-0.00404
0.00813,-0.00805
0.01222,-0.01205
0.01632,-0.01603
0.02045,-0.02000
0.02459,-0.02394
0.02876,-0.02786
0.03293,-0.03177
0.03713,-0.03566
0.04134,-0.03953
0.04558,-0.04338
0.04982,-0.04721
0.05409,-0.05102
0.05837,-0.05481
0.06267,-0.05858
0.06699,-0.06234
0.07132,-0.06607
0.07567,-0.06979
0.08004,-0.07348
0.08442,-0.07716
0.08882,-0.08081
0.09324,-0.08445
0.09767,-0.08806
0.10212,-0.09166
0.10659,-0.09524
0.11107,-0.09879
0.11556,-0.10233
0.12008,-0.10584
0.12461,-0.10934
0.12915,-0.11281
0.13371,-0.11627
0.13829,-0.11970
0.14288,-0.12311
0.14748,-0.12651
0.15210,-0.12988
0.15674,-0.13323
0.16139,-0.13656
0.16606,-0.13987
0.17074,-0.14316
0.17543,-0.14642
0.18014,-0.14967
0.18487,-0.15289
0.18961,-0.15610
0.19436,-0.15928
0.19913,-0.16244
0.20391,-0.16558
0.20871,-0.16870
0.21352,-0.17179
0.21834,-0.17487
0.22318,-0.17792
0.22803,-0.18095
0.23290,-0.18396
0.23777,-0.18695
0.24267,-0.18991
0.24757,-0.19286
0.25249,-0.19578
0.25742,-0.19868
0.26237,-0.20155
0.26732,-0.20441
0.27229,-0.20724
0.27728,-0.21005
0.28227,-0.21284
0.28728,-0.21560
0.29230,-0.21835
0.29733,-0.22107
0.30238,-0.22376
0.30743,-0.22644
0.31250,-0.22909
0.31758,-0.23172
0.32267,-0.23433
0.32778,-0.23691
0.33289,-0.23947
0.33802,-0.24201
0.34316,-0.24452
0.34831,-0.24701
0.35347,-0.24948
0.35864,-0.25192
0.36382,-0.25435
0.36902,-0.25674
0.37422,-0.25912
0.37944,-0.26147
0.38466,-0.26380
0.38990,-0.26610
0.39514,-0.26838
0.40040,-0.27064
0.40567,-0.27287
0.41094,-0.27508
0.41623,-0.27727
0.42152,-0.27943
0.42683,-0.28157
0.43215,-0.28369
0.43747,-0.28578
0.44280,-0.28784
0.44815,-0.28989
0.45350,-0.29191
0.45886,-0.29390
0.46423,-0.29587
0.46961,-0.29782
0.47500,-0.29974
0.48039,-0.30164
0.48580,-0.30351
0.49121,-0.30536
0.49663,-0.30719
0.50206,-0.30899
0.50750,-0.31076
0.51295,-0.31251
0.51840,-0.31424
0.52386,-0.31594
0.52933,-0.31762
0.53481,-0.31928
0.54029,-0.32091
0.54578,-0.32251
0.55128,-0.32409
0.55678,-0.32564
0.56230,-0.32717
0.56782,-0.32868
0.57334,-0.33016
0.57887,-0.33162
0.58441,-0.33305
0.58996,-0.33445
0.59551,-0.33583
0.60107,-0.33719
0.60663,-0.33852
0.61220,-0.33983
0.61777,-0.34111
0.62335,-0.34236
0.62894,-0.34359
0.63453,-0.34480
0.64013,-0.34598
0.64573,-0.34714
0.65134,-0.34827
0.65695,-0.34937
0.66257,-0.35045
0.66819,-0.35151
0.67382,-0.35253
0.67945,-0.35354
0.68509,-0.35452
0.69073,-0.35547
0.69637,-0.35640
0.70202,-0.35730
0.70767,-0.35818
0.71333,-0.35903
0.71899,-0.35986
0.72466,-0.36066
0.73032,-0.36143
0.73599,-0.36218
0.74167,-0.36291
0.74735,-0.36360
0.75303,-0.36428
0.75871,-0.36493
0.76440,-0.36555
0.77009,-0.36614
0.77578,-0.36672
0.78147,-0.36726
0.78717,-0.36778
0.79287,-0.36828
0.79857,-0.36874
0.80427,-0.36919
0.80998,-0.36960
0.81569,-0.37000
0.82139,-0.37036
0.82710,-0.37070
0.83282,-0.37102
0.83853,-0.37131
0.84424,-0.37157
0.84996,-0.37181
0.85568,-0.37202
0.86139,-0.37221
0.86711,-0.37237
0.87283,-0.37250
0.87855,-0.37261
0.88427,-0.37269
0.88999,-0.37275
0.89571,-0.37278
0.90143,-0.37279
0.90715,-0.37277
0.91287,-0.37273
0.91859,-0.37266
0.92431,-0.37256
0.93003,-0.37244
0.93575,-0.37229
0.94147,-0.37212
0.94718,-0.37192
0.95290,-0.37169
0.95861,-0.37144
0.96433,-0.37117
0.97004,-0.37086
0.97575,-0.37054
0.98146,-0.37018
0.98717,-0.36980
0.99287,-0.36940
0.99858,-0.36897
1.00428,-0.36851
1.00998,-0.36803
1.01568,-0.36752
1.02137,-0.36699
1.02707,-0.36643
1.03276,-0.36585
1.03845,-0.36524
1.04413,-0.36461
1.04981,-0.36394
1.05549,-0.36326
1.06117,-0.36255
1.06684,-0.36181
1.07251,-0.36105
1.07818,-0.36026
1.08384,-0.35945
1.08950,-0.35861
1.09515,-0.35774
1.10080,-0.35685
1.10645,-0.35594
1.11209,-0.35500
1.11773,-0.35403
1.12336,-0.35304
1.12899,-0.35202
1.13462,-0.35098
1.14024,-0.34991
1.14585,-0.34882
1.15146,-0.34770
1.15707,-0.34656
1.16267,-0.34539
1.16826,-0.34420
1.17385,-0.34298
1.17944,-0.34174
1.18502,-0.34047
1.19059,-0.33918
1.19615,-0.33786
1.20171,-0.33651
1.20727,-0.33515
1.21282,-0.33375
1.21836,-0.33233
1.22389,-0.33089
1.22942,-0.32942
1.23495,-0.32793
1.24046,-0.32641
1.24597,-0.32487
1.25147,-0.32330
1.25697,-0.32171
1.26245,-0.32009
1.26793,-0.31845
1.27340,-0.31679
1.27887,-0.31510
1.28433,-0.31338
1.28978,-0.31164
1.29522,-0.30988
1.30065,-0.30809
1.30608,-0.30628
1.31149,-0.30444
1.31690,-0.30258
1.32230,-0.30069
1.32770,-0.29878
1.33308,-0.29685
1.33845,-0.29489
